Publication Type,Authors,Article Title,Source Title,Language,Document Type,Author Keywords,Keywords Plus,Abstract,"Type (research, intervention, review)",Country,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas
J,"Mariton, L; Le Viol, I; Bas, Y; Kerbiriou, C",Characterising diel activity patterns to design conservation measures: Case study of European bat species,BIOLOGICAL CONSERVATION,English,Article,Bats; Chiroptera; Citizen science; Diel activity pattern; Mitigation measures; Passive acoustic monitoring,PIPISTRELLUS-PIPISTRELLUS; FORAGING BEHAVIOR; EMERGENCE,"Although diel activity time is a major axis of species' niche space, very few conservation measures focus on preserving daily periods free of anthropogenic pressures. While the spatial ecology of bats has received much attention, less is known about their temporal ecology, the knowledge being dispersed in studies of limited taxonomical, spatial and temporal range. We used data from the French bat monitoring program based on citizen science and standardised acoustic recordings (4409 sites monitored and 9807 nights monitored from 2014 to 2020) to characterise the diel activity patterns of 20 bat species so that their consideration in mitigation measures can help conservation. We designed a method to extract times of key descriptors and describe bat activity distribution throughout the night. We found that bat species could be separated in three functional groups characterised by a crepuscular activity, an activity that occurs when it is completely dark or an intermediate activity. We showed variations of diel activity patterns depending on season. We argue that accounting for these complex diel activity patterns would help design efficient mitigation measures, for instance to reduce the exposure of bats to light pollution or wind turbines. Overall, we advocate multi-taxa approaches to design conservation policies adapted to both the temporal and spatial distributions of species.",research,France,50,1,1,10,24,BIOL CONSERV,Biol. Conserv.,JAN,2023,277,,10.1016/j.biocon.2022.109852,http://dx.doi.org/10.1016/j.biocon.2022.109852,,22-Dec,9,Biodiversity Conservation; Ecology; Environmental Sciences,Science Citation Index Expanded (SCI-EXPANDED),Biodiversity & Conservation; Environmental Sciences & Ecology
J,"Roemer, C; Bas, Y; Disca, T; Coulon, A",Influence of landscape and time of year on bat-wind turbines collision risks,LANDSCAPE ECOLOGY,English,Article,Bat collisions; Distance to woodland; Topography; Per capita collision risks; Acoustic location; Vertical flight distribution,HABITAT USE; MORTALITY; BIODIVERSITY; STRATEGIES; FATALITIES; FACILITIES; WILDLIFE; HEIGHT,"Context Collisions with wind turbines threaten bat populations worldwide. Previous studies tried to assess the effects of landscape on mortalities. Yet, the count of carcasses found per species is low, leading to a low statistical power. Acoustic surveys collect large datasets (proxy for bat density); however, if bat vertical distribution is not accounted for, a key mechanism in collisions is missed. Objectives Our goal was to disentangle the effects of landscape on bat density and vertical distribution to produce recommendations for wind farm siting. Methods With a vertical array of two microphones, we monitored the acoustic activity and located the vertical distribution of more than 16 bat species on 48 wind masts in France and Belgium (> 8000 nights). We modelled bat density and vertical distribution for six species in function of distance to water, woodland and buildings, and in function of the topography at three different scales (200 m, 1000 m and 5000 m). Results The proportion of flights at heights with collision risk was maximum in spring and autumn and minimum in summer for three species. This effect was often antagonistic to the effect of bat density. The landscape had a stronger effect on bat density than on bat vertical distribution. Conclusions Positioning wind farms away from woodland should reduce the density and therefore the collision risks of low-flying species but should be inefficient for high-flying species. The effect of topography was stronger at large scales and complex, thus studying situations such as coastlines or mountain passes would provide more insight.",research,"France, Belgium",62,10,10,3,49,LANDSCAPE ECOL,Landsc. Ecol.,DEC,2019,34,12,10.1007/s10980-019-00927-3,http://dx.doi.org/10.1007/s10980-019-00927-3,,19-Oct,13,"Ecology; Geography, Physical; Geosciences, Multidisciplinary",Science Citation Index Expanded (SCI-EXPANDED),Environmental Sciences & Ecology; Physical Geography; Geology
C,"Krapivnitckaia, P; Kunz, VD; Floeter, C",Currently Known Characteristics of Bat Species Represented in Hamburg in Respect of Wind Turbine Casualties,5TH CARPE CONFERENCE: HORIZON EUROPE AND BEYOND,English,Proceedings Paper,bat casualties; bat characteristics; wind turbines,,"Bats are animals protected by the law, however many become wind turbine related casualties. To estimate the risk from wind turbines, a systematic literature research has been conducted. A total of 6 groups of bat characteristics have been chosen as relevant for the risk estimation: body dimensions, flight height, flight style and speed, foraging space and distance, response to light, and acoustical characteristics of bat calls. Their values have been presented in this paper for the 7 bat species that are represented in the wind park near Hamburg, Germany. Analyzing the values of the known bat characteristics, conclusions about the species with high collision risk possibility have been drawn. However, these conclusions have not always been supported by the statistics of carcass findings at wind parks across Germany, which raises questions, for instance about the degree of influence of certain characteristics above others, and indicates a need for further research.",research,Germany,17,0,0,1,1,,,,2019,,,10.4995/CARPE2019.2019.10543,http://dx.doi.org/10.4995/CARPE2019.2019.10543,,,8,"Education & Educational Research; Public, Environmental & Occupational Health",Conference Proceedings Citation Index - Social Science & Humanities (CPCI-SSH),"Education & Educational Research; Public, Environmental & Occupational Health"
J,"Kruszynski, C; Bailey, LD; Bach, L; Bach, P; Fritze, M; Lindecke, O; Teige, T; Voigt, CC",High vulnerability of juvenile Nathusius' pipistrelle bats (Pipistrellus nathusii) at wind turbines,ECOLOGICAL APPLICATIONS,English,Article,bats; females; Germany; hydrogen; juveniles; migration; migratory corridor; Pipistrellus nathusii; stable isotopes; wind farms,MIGRATORY BATS; ENERGY; WILDLIFE; FATALITIES; STANDARDS; MORTALITY; KERATIN; ORIGINS; HAIR,"Large numbers of bats are killed by wind turbines globally, yet the specific demographic consequences of wind turbine mortality are still unclear. In this study, we compared characteristics of Nathusius' pipistrelles (Pipistrellus nathusii) killed at wind turbines (N = 119) to those observed within the live population (N = 524) during the summer migration period in Germany. We used generalized linear mixed-effects modeling to identify demographic groups most vulnerable to wind turbine mortality, including sex (female or male), age (adult or juvenile), and geographic origin (regional or long-distance migrant; depicted by fur stable hydrogen isotope ratios). Juveniles contributed with a higher proportion of carcasses at wind turbines than expected given their frequency in the live population suggesting that juvenile bats may be particularly vulnerable to wind turbine mortality. This effect varied with wind turbine density. Specifically, at low wind turbine densities, representing mostly inland areas with water bodies and forests where Nathusius' pipistrelles breed, juveniles were found more often dead beneath turbines than expected based on their abundance in the live population. At high wind turbine densities, representing mostly coastal areas where Nathusius' pipistrelles migrate, adults and juveniles were equally vulnerable. We found no evidence of increased vulnerability to wind turbines in either sex, yet we observed a higher proportion of females than males among both carcasses and the live population, which may reflect a female bias in the live population most likely caused by females migrating from their northeastern breeding areas migrating into Germany. A high mortality of females is conservation concern for this migratory bat species because it affects the annual reproduction rate of populations. A distant origin did not influence the likelihood of getting killed at wind turbines. A disproportionately high vulnerability of juveniles to wind turbine mortality may reduce juvenile recruitment, which may limit the resilience of Nathusius' pipistrelles to environmental stressors such as climate change or habitat loss. Schemes to mitigate wind turbine mortality, such as elevated cut-in speeds, should be implemented throughout Europe to prevent population declines of Nathusius' pipistrelles and other migratory bats.",research,Germany,59,5,5,3,16,ECOL APPL,Ecol. Appl.,MAR,2022,32,2,10.1002/eap.2513,http://dx.doi.org/10.1002/eap.2513,,22-Jan,12,Ecology; Environmental Sciences,Science Citation Index Expanded (SCI-EXPANDED),Environmental Sciences & Ecology
J,"Ellerbrok, JS; Delius, A; Peter, F; Farwig, N; Voigt, CC",Activity of forest specialist bats decreases towards wind turbines at forest sites,JOURNAL OF APPLIED ECOLOGY,English,Article,acoustic monitoring; avoidance; bats; distance effect; foraging guilds; habitat degradation; temperate forests; wind farms,RENEWABLE ENERGY; CLIMATE-CHANGE; BIODIVERSITY; CONSERVATION; MANAGEMENT; MORTALITY; WILDLIFE; IMPACT,"Worldwide, wind turbines are increasingly being built at forest sites to meet the goals of national climate strategies. Yet, the impact on biodiversity is barely understood. Bats may be heavily affected by wind turbines in forests, because many species depend on forest ecosystems for roosting and hunting and can experience high fatality rates at wind turbines. We performed acoustic surveys in 24 temperate forests in the low mountain ranges of Central Germany to monitor changes in the acoustic activity of bats in relation to wind turbine proximity, rotor size, vegetation structure and season. Call sequences were identified and assigned to one of three functional guilds: open-space, edge-space and narrow-space foragers, the latter being mainly forest specialists. Based on the response behaviour of bats towards wind turbines in open landscapes, we predicted decreasing bat activity towards wind turbines at forest sites, especially for narrow-space foragers. Vertical vegetation heterogeneity had a strong positive effect on all bats, yet responses to wind turbines in forests varied across foraging guilds. Activity of narrow-space foragers decreased towards turbines over distances of several hundred metres, especially towards turbines with large rotors and during mid-summer months. The activity of edge-space foragers did not change with distance to turbines or season, whereas the activity of open-space foragers increased close to turbines in late summer. Synthesis and applications. Forest specialist bats avoid wind turbines in forests over distances of several hundred metres. This avoidance was most apparent towards turbines with large rotors. Since forests are an important habitat for these bats, we advise to exclude forests with diverse vegetation structure as potential wind turbine sites and to consider compensation measures to account for habitat degradation associated with the operation of wind turbines in forests.",research,Germany,70,5,5,7,19,J APPL ECOL,J. Appl. Ecol.,OCT,2022,59,10,10.1111/1365-2664.14249,http://dx.doi.org/10.1111/1365-2664.14249,,22-Jul,10,Biodiversity Conservation; Ecology,Science Citation Index Expanded (SCI-EXPANDED),Biodiversity & Conservation; Environmental Sciences & Ecology
J,"Voigt, CC; Kaiser, K; Look, S; Scharnweber, K; Scholz, C",Wind turbines without curtailment produce large numbers of bat fatalities throughout their lifetime: A call against ignorance and neglect,GLOBAL ECOLOGY AND CONSERVATION,English,Article,Green-green dilemma; Wind energy bat conflict; Wildlife casualties,EUROPEAN BATS; ENERGY; WILDLIFE; BIRD; FARMS; AREAS,"Bats are protected by national and international legislation in European countries, yet many species, particularly migratory aerial insectivores, collide with wind turbines which counteracts conservation efforts. Within the European Union it is legally required to curtail the operation of wind turbines at periods of high bat activity, yet this is not practiced at old wind turbines. Based on data from the national carcass repository in Germany and from our own carcass searches at a wind park with three turbines west of Berlin, we evaluated the magnitude of bat casualties at old, potentially poor-sited wind turbines operating without curtailment. We report 88 documented bat carcasses collected by various searchers over the 20-year operation period of this wind park from 2001 to 2021. Common noctule bats (Nyctalus noctula) and common pipistrelles (Pipistrellus pipistrellus) were most often found dead at these turbines. Our search campaign in August and September 2021 yielded a total of 18 carcasses. We estimated that at least 209 bats were likely killed during our field survey, yielding more than 70 casualties/wind turbine or 39 casualties/ MW in two months. Since our campaign covered only part of the migration season, we consider this value as an underestimate. The 20-year period of the wind park emphasises the substantial impact old turbines may have on bat individuals and populations when operating without curtailments. We call for reconsidering the operation procedures of old wind turbines to stop the continuous loss of bats in Germany and other countries where turbine curtailments are even less practiced than in Germany.",research,Germany,45,9,9,5,20,GLOB ECOL CONSERV,Glob. Ecol. Conserv.,SEP,2022,37,,10.1016/j.gecco.2022.e02149,http://dx.doi.org/10.1016/j.gecco.2022.e02149,,22-May,10,Biodiversity Conservation; Ecology,Science Citation Index Expanded (SCI-EXPANDED),Biodiversity & Conservation; Environmental Sciences & Ecology
J,"Korner-Nievergelt, F; Korner-Nievergelt, P; Behr, O; Niermann, I; Brinkmann, R; Hellriegel, B",A new method to determine bird and bat fatality at wind energy turbines from carcass searches,WILDLIFE BIOLOGY,English,Article,bats; birds; carcass searches; collision risk; detection probability; estimator; formula; wind energy turbine,MORTALITY,"Wind energy is of increasing importance for a sustainable energy supply worldwide. At the same time, concerns about the number of birds and bats being killed at wind turbines have been growing. In this situation, methods for a reliable estimation of bird and bat fatality numbers are needed. To obtain an unbiased estimate of the number of fatalities from fatality searches, the probability to detect the carcass of an animal being killed at a turbine has to be assessed by considering carcass persistence rate, searcher efficiency and the probability that a killed animal falls into a searched area. Here, we describe a new formula to determine the detection probability of birds or bats that are killed at wind turbines and which can estimate the number of fatalities from the number of carcasses found. The formula was developed to analyse a large data set of bats killed at wind turbines in Germany. In simulations, we compared it to three other formulas used in this context. Our new formula seems to have unbiased results when searcher efficiency and carcass removal rate are constant over time. When searcher efficiency or carcass removal rate varied with time, all four formulas showed a similar bias. These comparative results can be used to choose between methods depending on the quality of information available. Our estimator can, for instance, be adapted to different situations including temporal changes of searcher efficiency or carcass removal rate because it is based on an explicit process model.",research,Germany,26,61,64,2,77,WILDLIFE BIOL,Wildlife Biol.,DEC,2011,17,4,10.2981/10-121,http://dx.doi.org/10.2981/10-121,,,14,Ecology; Zoology,Science Citation Index Expanded (SCI-EXPANDED),Environmental Sciences & Ecology; Zoology
J,"Hochradel, K; Hartmann, S; Reers, H; Luedtke, B; Schauer-Weisshahn, H; Thomsen, KM; Hoetker, H; Brinkmann, R",Three-dimensional analysis of bat flight paths around small wind turbines suggests no major collision risk or behavioral changes,MAMMAL RESEARCH,English,Article,Bats; Collision risk; Small wind turbine,ENERGY FACILITIES; FATALITIES; LANDSCAPE; MORTALITY; WILDLIFE; PIPISTRELLUS; PATTERNS; IMPACTS; BIRD,"Small wind turbines (SWTs) have become increasingly common in several European countries, but knowledge of their impact on wildlife, especially bats, remains relatively scarce. We applied an operational experiment at 10 SWTs in Northern Germany to determine the bat species commonly found at those SWT sites and whether the operational state of the SWT affects bat activity or behavior. During the experiment, the SWT operational state (ON, OFF) was altered and the flight trajectories of bats around the SWTs were documented using a specifically designed 3D camera with a high spatial resolution able to capture collisions with the structures. Several bat species were detected in the close vicinity (20 m) of the SWTs at all study sites. The bat species group Nyctaloids dominated bat acoustic activity at most SWTs, followed by Pipistrellus pipistrellus and P. nathusii. Only 41 of the 499 flight trajectories approached the nacelle closer than 10 m, including one that passed the rotor blades directly. Generally, there was no evidence of collisions nor was there an influence of operation mode on either bat acoustic activity levels or the distance of bat flight trajectories to the nacelle. However, we strongly caution that the results of our study cannot be generalized to other landscapes, weather conditions, bat species, or SWT types.",research,Germany,58,0,0,1,18,MAMMAL RES,Mammal Res.,JAN,2022,67,1,10.1007/s13364-021-00595-2,http://dx.doi.org/10.1007/s13364-021-00595-2,,21-Sep,16,Zoology,Science Citation Index Expanded (SCI-EXPANDED),Zoology
J,"Scholz, C; Voigt, CC",Diet analysis of bats killed at wind turbines suggests large-scale losses of trophic interactions,CONSERVATION SCIENCE AND PRACTICE,English,Article,bat fatalities; biodiversity decline; food web; green-green dilemma; renewable energy; wind energy production; wind energy-biodiversity conflict,CONSERVATION; ENERGY; ASSOCIATION; FATALITIES; MORTALITY; IMPACTS; NUMBERS,"Agricultural practice has led to landscape simplification and biodiversity decline, yet recently, energy-producing infrastructures, such as wind turbines, have been added to these simplified agroecosystems, turning them into multi-functional energy-agroecosystems. Here, we studied the trophic interactions of bats killed at wind turbines using a DNA metabarcoding approach to shed light on how turbine-related bat fatalities may possibly affect local habitats. Specifically, we identified insect DNA in the stomachs of common noctule bats (Nyctalus noctula) killed by wind turbines in Germany to infer in which habitats these bats hunted. Common noctule bats consumed a wide variety of insects from different habitats, ranging from aquatic to terrestrial ecosystems (e.g., wetlands, farmland, forests, and grasslands). Agricultural and silvicultural pest insects made up about 20% of insect species consumed by the studied bats. Our study suggests that the potential damage of wind energy production goes beyond the loss of bats and the decline of bat populations. Bat fatalities at wind turbines may lead to the loss of trophic interactions and ecosystem services provided by bats, which may add to the functional simplification and impaired crop production, respectively, in multi-functional ecosystems.",research,Germany,66,0,0,10,30,CONSERV SCI PRACT,Conserv. Sci. Pract.,JUL,2022,4,7,10.1111/csp2.12744,http://dx.doi.org/10.1111/csp2.12744,,22-Jun,12,Biodiversity Conservation,Science Citation Index Expanded (SCI-EXPANDED),Biodiversity & Conservation
J,"Voigt, CC; Lindecke, O; Schonborn, S; Kramer-Schadt, S; Lehmann, D",Habitat use of migratory bats killed during autumn at wind turbines,ECOLOGICAL APPLICATIONS,English,Article,aquatic habitats; bat fatalities; connectivity; conservation; migration; molt; policy management; terrestrial habitats,PIPISTRELLUS-PIPISTRELLUS; NYCTALUS-NOCTULA; STABLE HYDROGEN; CARBON ISOTOPES; WILDLIFE; ORIGINS; LANDSCAPE; SELECTION; TURNOVER; NATHUSII,"The killing of large numbers of migratory bats at wind turbines is a pressing conservation problem. Even though avoidance and mitigation measures could benefit from a better knowledge of the species' migratory habits, we lack basic information about what habitats and corridors bats use during migration. We studied the isotopic niche dimensions of three bat species that are frequently killed at wind turbines in Germany: non-migratory Pipistrellus pipistrellus, mid-distance migratory Nyctalus noctula, and long-distance migratory Pipistrellus nathusii. We measured stable carbon and nitrogen isotope ratios (delta C-13, delta N-15) in five tissues that differed in isotopic retention time (fur, wing membrane tissue, muscle, liver, blood) to shed light on the species-specific habitat use during the autumn migration period using standard ellipse areas (SEA(c)). Further, we used stable isotope ratios of non-exchangeable hydrogen (delta H-2(K)) in fur keratin to assess the breeding origin of bats. We inferred from isotopic composition (delta C-13, delta N-15) of fur keratin that isotopic niche dimensions of P. nathusii was distinct from that of N. noctula and P. pipistrellus, probably because P. nathusii was using more aquatic habitats than the other two species. Isoscape origin models supported that traveled distances before dying at wind turbines was largest for P. nathusii, intermediate for N. noctula, and shortest for P. pipistrellus. Isotopic niche dimensions calculated for each sample type separately reflected the species' migratory behavior. Pipistrellus pipistrellus and N. noctula showed similar isotopic niche breadth across all tissue types, whereas SEA(c) values of P. nathusii increased in tissues with slow turnaround time. Isotopic data suggested that P. nathusii consistently used aquatic habitats throughout the autumn period, whereas N. noctula showed a stronger association with terrestrial habitats during autumn compared to the pre-migration period.",research,Germany,61,29,30,1,73,ECOL APPL,Ecol. Appl.,APR,2016,26,3,10.1890/15-0671,http://dx.doi.org/10.1890/15-0671,,,13,Ecology; Environmental Sciences,Science Citation Index Expanded (SCI-EXPANDED),Environmental Sciences & Ecology
J,"Reusch, C; Lozar, M; Kramer-Schadt, S; Voigt, CC",Coastal onshore wind turbines lead to habitat loss for bats in Northern Germany,JOURNAL OF ENVIRONMENTAL MANAGEMENT,English,Article,Green-green-dilemma; Bat fatalities; Landscape management; Biodiversity; Climate change; Energy transition,SELECTION; SPEED,"Wind energy production is particularly rewarding along coastlines, yet coastlines are often important as migratory corridors for wildlife. This creates a conflict between energy production from renewable sources and conservation goals, which needs to be considered during environmental planning. To shed light on the spatial interactions of a high collision risk bat species with coastal wind turbines (WT), we analysed 32 tracks of 11 common noctule bats (Nyctalus noctula) in Northern Germany with miniaturized global positioning system units yielding 6266 locations. We used three spatial models to infer on the preferred and avoided landscape features in interaction with WT. We found 3.4% of all locations close to WT, with bats preferring areas with high levels of impervious surface, identified as farmhouses. Common noctule bats were also more present close to WT adjacent to paths and waterbodies. At the local scale, >70% of common noctule bats avoided WT, yet if bats approached WT we counted more positions at large WT, specifically close to known roosts. Our study highlights that coastal WT should not be placed next to feeding grounds and bat roosts. Additionally, avoidance of WT by bats indicates that foraging bats may suffer from habitat loss in coastal landscapes with high turbine densities. To mitigate the conflict between wind energy power production and conservation goals at coastal sites, wind turbines should be placed at distance to habitat features preferred by bats and turbine densities should be limited.",research,Germany,32,7,7,5,15,J ENVIRON MANAGE,J. Environ. Manage.,15-May,2022,310,,10.1016/j.jenvman.2022.114715,http://dx.doi.org/10.1016/j.jenvman.2022.114715,,22-Feb,8,Environmental Sciences,Science Citation Index Expanded (SCI-EXPANDED),Environmental Sciences & Ecology
J,"Voigt, CC; Scherer, C; Runkel, V",Modeling the power of acoustic monitoring to predict bat fatalities at wind turbines,CONSERVATION SCIENCE AND PRACTICE,English,Article,curtailment; green-green dilemma; mitigation; wind energy production; wind farm,,"Large numbers of bats are killed at wind turbines worldwide. To formulate mitigation measures such as curtailment, recent approaches relate the acoustic activity of bats around reference turbines to casualties to extrapolate fatality rates at turbines where only acoustic surveys are conducted. Here, we modeled how sensitive this approach is when spatial distributions of bats vary within the rotor-swept zone, and when the coverage of acoustic monitoring deteriorates, for example, with increasing turbine size. The predictive power of acoustic surveys was high for uniform or random distributions of bats. A concentration of bat passes around the nacelle or at the lower portion of the risk zone caused an overestimation of bat activity when ultrasonic microphones were pointed downwards at the nacelle. Conversely, a concentration of bat passes at the edge or at the top portion of the risk zone caused an underestimation of bat activity. These effects increased as the coverage of the acoustic monitoring decreased. Extrapolated fatality rates may not necessarily match with real conditions without knowledge of the spatial distribution of bats, particularly when the risk zone is poorly covered by acoustic monitoring, when spatial distributions are skewed and when turbines are large or frequencies of echolocating bats high. We argue that the predictive power of acoustic surveys is sufficiently strong for nonrandom or nonuniform distributions when validated by carcass searches and by complementary studies on the spatial distribution of bats at turbines.",research,Germany,44,0,0,3,12,CONSERV SCI PRACT,Conserv. Sci. Pract.,DEC,2022,4,12,10.1111/csp2.12841,http://dx.doi.org/10.1111/csp2.12841,,22-Nov,14,Biodiversity Conservation,Science Citation Index Expanded (SCI-EXPANDED),Biodiversity & Conservation
J,"Roeleke, M; Blohm, T; Kramer-Schadt, S; Yovel, Y; Voigt, CC",Habitat use of bats in relation to wind turbines revealed by GPS tracking,SCIENTIFIC REPORTS,English,Article,,NYCTALUS-NOCTULA; FATALITIES; SELECTION; WILDLIFE; BEHAVIOR; INSECTS; DENSITY; STATE; MODEL,"Worldwide, many countries aim at countering global climate change by promoting renewable energy. Yet, recent studies highlight that so-called green energy, such as wind energy, may come at environmental costs, for example when wind turbines kill birds and bats. Using miniaturized GPS loggers, we studied how an open-space foraging bat with high collision risk with wind turbines, the common noctule Nyctalus noctula (Schreber, 1774), interacts with wind turbines. We compared actual flight trajectories to correlated random walks to identify habitat variables explaining the movements of bats. Both sexes preferred wetlands but used conventionally managed cropland less than expected based on availability. During midsummer, females traversed the land on relatively long flight paths and repeatedly came close to wind turbines. Their flight heights above ground suggested a high risk of colliding with wind turbines. In contrast, males recorded in early summer commuted straight between roosts and foraging areas and overall flew lower than the operating range of most turbine blades, suggesting a lower collision risk. Flight heights of bats suggest that during summer the risk of collision with wind turbines was high for most studied bats at the majority of currently installed wind turbines. For siting of wind parks, preferred bat habitats and commuting routes should be identified and avoided.",research,Germany,48,62,64,5,124,SCI REP-UK,Sci Rep,4-Jul,2016,6,,10.1038/srep28961,http://dx.doi.org/10.1038/srep28961,,,9,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),Science & Technology - Other Topics
J,"Voigt, CC; Russo, D; Runkel, V; Goerlitz, HR",Limitations of acoustic monitoring at wind turbines to evaluate fatality risk of bats,MAMMAL REVIEW,English,Article,acoustic monitoring; attenuation; bats Chiroptera; conservation management; fatalities; human– wildlife conflict; mitigation,,"Wind turbines (WTs) frequently kill bats worldwide. During environmental impact assessments, consultant ecologists often use automated ultrasonic detectors (AUDs) to estimate the activity and identity of bats in the zone of highest mortality risk at WTs in order to formulate mitigation schemes, such as increased curtailment speeds to prevent casualties. While acknowledging the potential of acoustic monitoring, we evaluate the limitations of AUDs for monitoring bats at WTs and highlight directions for future research. We show that geometric attenuation and atmospheric attenuation of ultrasonic echolocation calls, in conjunction with limited sensitivity of ultrasonic microphones, severely constrain detection distances of bats at WTs. Taking into account the acoustic shadow produced by the nacelle, AUDs cover only approximately 23% of the risk zone for a bat calling at 20 kHz and 4% for a bat calling at 40 kHz, assuming a 60 m blade length. This percentage will further decrease with increasing blade lengths in modern WTs. Additionally, the directionality of echolocation calls and the dynamic flight behaviour of bats constrain the detectability of bats. If a call can be detected, the low interspecific and high intraspecific variation of echolocation call characteristics may impair species identification, limiting the power to predict population-level effects of fatalities. We conclude that technical, physical, and biological factors severely constrain acoustic monitoring in its current form. We suggest the use of several AUDs, installed at complementary sites at WTs, and the testing of other techniques, such as radar, cameras, and thermal imaging, to inform stakeholders on the mortality risk of bats at WTs.",research,Germany,60,18,18,5,23,MAMMAL REV,Mammal Rev.,OCT,2021,51,4,10.1111/mam.12248,http://dx.doi.org/10.1111/mam.12248,,21-Mar,12,Ecology; Zoology,Science Citation Index Expanded (SCI-EXPANDED),Environmental Sciences & Ecology; Zoology
J,"Buchholz, S; Kelm, V; Ghanem, SJ",Mono-specific forest plantations are valuable bat habitats: implications for wind energy development,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,English,Article,Chiroptera; Coniferous plantation; Environmental impact assessment; Renewable energy; Wind farm; Wind power; Woodland,LANDSCAPE CONNECTIVITY; MATURE FORESTS; DWELLING BATS; SELECTION; CONSERVATION; DIVERSE; FRAGMENTATION; WOODLANDS; RESPONSES; TURBINES,"Near-natural or semi-natural forests such as relatively undisturbed and old deciduous or mixed woodland are considered worth protecting and ecologically valuable habitats for bat conservation. In contrast, mono-specific forest plantations are considered ecologically less valuable; thus, decision-makers recommend these plantations as suitable locations for wind power stations and therefore want to further expand wind turbines in these habitats. This is expected to have a strong negative impact on the landscape because forests would be cleared for wind turbine pads and access roads and wind turbines rise above the trees with adverse impacts for bats. Therefore, we argue that, in light of bat conservation, the suitability of forest plantations for wind energy development is not, per se, warranted and that implications of wind power stations, even in mono-specific forest plantations, should be assessed and evaluated. We conducted long-term bat activity monitoring and recorded bat echolocation calls above the canopies of different forest sites (coniferous monoculture plantations and semi-natural mixed deciduous forests) in Germany and compared different forest types in terms of species richness, total bat activity, activity of the three bat species groups and species composition. Generalised linear models revealed that forest type and the amount of forest biotopes did not enhance bat activity. Ordination showed that species composition was not affected by forest type, location and connectivity. Mono-specific forest plantations can harbour a diverse bat fauna with high species activity and are, therefore, valuable bat habitats just as near-natural or semi-natural woodlands are. Environmental impact assessment and mitigation measures are vital in all forest types before and after planning for wind energy turbines. In particular, future planning and approval processes must consider the importance of mono-specific forest plantations for bat species protection.",research,Germany,79,5,6,2,15,EUR J WILDLIFE RES,Eur. J. Wildl. Res.,FEB,2021,67,1,10.1007/s10344-020-01440-8,http://dx.doi.org/10.1007/s10344-020-01440-8,,,12,Ecology; Zoology,Science Citation Index Expanded (SCI-EXPANDED),Environmental Sciences & Ecology; Zoology
J,"Reusch, C; Paul, AA; Fritze, M; Kramer-Schadt, S; Voigt, CC",Wind energy production in forests conflicts with tree-roosting bats,CURRENT BIOLOGY,English,Article,,TURBINES; SELECTION,"Many countries are investing heavily in wind power generation,1 triggering a high demand for suitable land. As a result, wind energy facilities are increasingly being installed in forests,2,3 despite the fact that forests are crucial for the protection of terrestrial biodiversity.4 This green-green dilemma is particularly evident for bats, as most species at risk of colliding with wind turbines roost in trees.2 With some of these species re-ported to be declining,5-8 we see an urgent need to understand how bats respond to wind turbines in forested areas, especially in Europe where all bat species are legally protected. We used miniaturized global posi-tioning system (GPS) units to study how European common noctule bats (Nyctalus noctula), a species that is highly vulnerable at turbines,9 respond to wind turbines in forests. Data from 60 tagged common noctules yielded a total of 8,129 positions, of which 2.3% were recorded at distances <100 m from the nearest turbine. Bats were particularly active at turbines <500 m near roosts, which may require such turbines to be shut down more frequently at times of high bat activity to reduce collision risk. Beyond roosts, bats avoided turbines over several kilometers, supporting earlier findings on habitat loss for forest-associated bats.10 This habitat loss should be compensated by developing parts of the forest as refugia for bats. Our study highlights that it can be particularly challenging to generate wind energy in forested areas in an ecologically sustainable manner with minimal impact on forests and the wildlife that inhabit them.",research,Germany,37,1,1,14,14,CURR BIOL,Curr. Biol.,27-Feb,2023,33,4,10.1016/j.cub.2022.12.050,http://dx.doi.org/10.1016/j.cub.2022.12.050,,,11,Biochemistry & Molecular Biology; Biology; Cell Biology,Science Citation Index Expanded (SCI-EXPANDED),Biochemistry & Molecular Biology; Life Sciences & Biomedicine - Other Topics; Cell Biology
